Time(utc),GHI,DHI,DNI,LWD,wind_dir_min,wind_dir_avg,wind_dir_max,wind_speed_min,wind_speed_avg,wind_speed_max,air_temperature,relative_humidity,air_pressure,rain_accumulation,rain_duration,rain_intensity,hail_accumulation,hail_duration,hail_intensity,
22:59:00 16/03/2018,-2.084,-2.084,-0.4197,-0.4197,55.65,62.37,74.9,4.903,6.042,7.132,-4.707,59.5,1017,0.01,3.167,0,0,0,0,
23:59:00 16/03/2018,-2.109,-2.109,-0.4402,-0.4402,54.48,64.13,73.48,4.782,5.737,6.708,-4.917,59.98,1017,0,1.167,0,0,0,0,
00:59:00 17/03/2018,-2.16,-2.16,-0.4451,-0.4451,63.83,64.77,78.22,4.302,5.37,6.36,-5.2,63.44,1018,0.01,1.833,0.008333,0,0,0,
01:59:00 17/03/2018,-2.162,-2.162,-0.4367,-0.4367,59.77,61.4,74.7,3.662,4.56,5.42,-5.382,67,1018,0.01,1,0,0,0,0,
02:59:00 17/03/2018,-2.105,-2.105,-0.4221,-0.4221,55.35,61.43,73.97,4.1,5.08,6.01,-5.387,67.91,1017,0,0.8333,0,0,0,0,
03:59:00 17/03/2018,-2.03,-2.03,-0.4245,-0.4245,62.1,64.15,77.22,4.518,5.453,6.343,-5.427,66.95,1017,0,1.5,0,0,0,0,
04:59:00 17/03/2018,-1.918,-1.918,-0.4139,-0.4139,52.92,65.08,77.52,5.022,6.227,7.38,-5.247,64.58,1017,0.04,2.333,0.03333,0,0,0,
05:59:00 17/03/2018,16.34,16.34,117.3,117.3,67.2,69.13,82.9,4.99,6.082,7.103,-5.065,62.17,1018,0.02,3.833,0.01,0,0,0,
06:59:00 17/03/2018,121.8,121.8,538,538,57.73,68.55,80.38,4.887,5.94,6.983,-4.747,62.21,1018,0,1,0,0,0,0,
07:59:00 17/03/2018,261.6,261.6,710,710,55.82,69.27,78.17,5.242,6.258,7.282,-4.158,59.73,1019,0,1.5,0,0,0,0,
08:59:00 17/03/2018,398.3,398.3,812.1,812.1,62.48,72.83,83.67,5.243,6.327,7.4,-3.422,56.97,1019,0,1.167,0,0,0,0,
09:59:00 17/03/2018,339.1,339.1,323.1,323.1,72.97,77.63,87.9,5.6,6.627,7.647,-2.805,54.29,1019,0,0.5,0,0,0,0,
10:59:00 17/03/2018,365.7,365.7,250.6,250.6,75.75,85.55,95.82,6.4,7.518,8.647,-2.212,50.36,1019,0.01,0.8333,0,0,0,0,
11:59:00 17/03/2018,505.4,505.4,546,546,82.98,92.4,101.4,6.193,7.217,8.205,-1.805,50.92,1019,0,0.5,0,0,0,0,
12:59:00 17/03/2018,451.2,451.2,609,609,79.2,89.92,100.4,5.868,6.922,7.933,-2.158,57.71,1018,0,0.3333,0,0,0,0,
13:59:00 17/03/2018,172.8,172.8,152.2,152.2,75.48,85.1,95.02,5.563,6.353,7.153,-2.097,55.02,1018,0,0.6667,0.001667,0,0,0,
14:59:00 17/03/2018,240,240,365.6,365.6,79.93,88.7,98.12,5.755,6.79,7.757,-1.805,50.54,1018,0,0.3333,0,0,0,0,
